id,title,description,image,method_of_making,animation,perceptual_realism,encodings,contextual,mechanisms,link
ex-094,Microorganisms in Perspective,Entire video.,media/ex-094.png,3D render,Dynamic,High,Size; Simple Materials; Position; Size,Other; Spatial Arrangement - Alignment; Shape; Simple Materials; Lighting; Environment / Background; Camera,Living Movement,https://www.youtube.com/watch?v=uIGOOcrT86A
ex-095,The Biggest Buildings That Do Not Exist,Entire video,media/ex-095.png,3D render,Dynamic,High,Shape; Simple Materials; Size; Position; Simple Materials; Size,Shape; Simple Materials; Spatial Arrangement - Other; Environment / Background; Lighting; Camera,,https://www.youtube.com/watch?v=B3xW1w1hfH0
ex-096,World in Slices,,media/ex-096.png,Graphic design - Illustration,Static,High,Size; Segment / Cut; Position,Shape; Simple Materials; Spatial Arrangement - Other; Shape; Simple Materials; Lighting; Camera,,https://chitchart.com/chart/bread-consumption-country
ex-097,Smallpox Deaths,Segment: 8:09-8:40,media/ex-097.png,3D render,Dynamic,Intermediate,Size; Simple Materials; Other; Position,Spatial Arrangement - Other; Spatial Arrangement - Other; Camera; Lighting,,https://www.youtube.com/watch?v=ybVZ7vluYhQ
ex-098,Billionaires Earnings,,media/ex-098.png,3D render,Dynamic,High,Shape; Simple Materials; Count; Size,Other; Position; Shape; Simple Materials; Position; Spatial Arrangement - Scattering; Position; Spatial Arrangement - Other; Environment / Background; Camera; Lighting,Living Movement,https://www.youtube.com/watch?v=QGhmT_Gz8o8
ex-099,What Creatives Do,,media/ex-099.png,Graphic design - Illustration,Static,High,Size; Break / Shatter; Position,Shape; Simple Materials; Other; Simple Materials; Spatial Arrangement - Other; Shape; Simple Materials; Lighting,,https://www.behance.net/gallery/17422299/Clio-Awards#
ex-100,Europe's Chocolate Consumption,,media/ex-100.png,3D render,Static,High,Size; Other; Position,Simple Materials; Spatial Arrangement - Other,,https://www.informationisbeautifulawards.com/showcase/2564-this-is-not-a-graph-ceci-n-est-pas-un-graph
ex-101,How Much Power Do Data Centers Use,,media/ex-101.png,Graphic design - Illustration,Static,Low,Size; Simple Materials; Position,Shape; Spatial Arrangement - Stacking; Shape; Simple Materials; Camera,,https://www.visualcapitalist.com/how-much-power-do-data-centers-use/
ex-102,Which Countries Buy the Most US Coal,,media/ex-102.png,Other,Static,High,Size; Break / Shatter; Position,Shape; Simple Materials; Spatial Arrangement - Other; Lighting; Environment / Background; Camera,,https://www.visualcapitalist.com/top-countries-buying-u-s-coal/
ex-103,Countries With the Highest Remittance Costs,,media/ex-103.png,Graphic design - Illustration,Static,Low,Size; Count; Position,Shape; Simple Materials; Spatial Arrangement - Other; Simple Materials,Force Fields & Particles; Force Fields & Particles,https://www.visualcapitalist.com/sp/pla01-countries-with-the-highest-remittance-costs/
